"text,target"
"I love this product it is amazing and works perfectly,1"
"This is the worst experience I have ever had,0"
"Absolutely fantastic service and friendly staff,1"
"I am very disappointed with the quality of this item,0"
"The movie was excellent and I enjoyed every moment,1"
"Terrible customer support they never respond,0"
"I am happy with my purchase will buy again,1"
"The app crashes all the time very frustrating,0"
"Great performance and easy to use interface,1"
"Waste of money completely useless product,0"
"Highly recommend this to everyone,1"
"The delivery was late and packaging was damaged,0"
"Outstanding experience exceeded my expectations,1"
"Not satisfied poor build quality,0"
"Very smooth and fast works like a charm,1"
"I regret buying this product,0"
"This is exactly what I was looking for,1"
"The service was horrible and rude,0"
"Excellent value for the price,1"
"Do not buy this it is a scam,0"
